crime_count_500m,violent_count_500m,PIN
33,3,1380800010
129,9,0952002735
80,5,7518504985
25,2,7857003900
61,0,1732801250
50,5,1568100790
13,1,3034200185
45,5,9268200226
16,0,9842300255
0,0,7774200208
77,15,3336500095
15,0,4077800143
30,3,9284801052
63,4,9268200775
54,0,3856905320
208,9,2883201770
80,0,3856902330
147,17,2921700050
41,1,6141100690
76,12,7883603520
38,0,6844702650
34,3,7655900248
17,1,6381500710
0,0,1447600396
0,0,6675500132
47,2,8805900565
37,2,9274200355
17,0,5249803760
57,12,6371000090
115,7,0952002975
0,0,6448600090
6,0,0444000080
30,2,7010700015
92,18,2621650050
15,2,5491200130
23,0,6438400125
127,16,2660500495
23,0,1781500410
0,0,0293910100
0,0,3261020060
296,15,1806900005
9,0,1563102980
23,0,1781500250
26,0,4318200225
19,2,1787600150
39,7,2895650340
10,0,3013300458
28,2,9214400230
0,0,3026059392
4,0,0399000320
97,5,7435500120
49,2,8604900355
7,1,1370800620
202,24,7996720190
67,1,3363400125
22,1,3348401442
36,1,1257202335
0,0,9573120350
59,1,7625702710
31,5,8165500520
41,2,2878600325
57,0,9550201665
44,1,0582000565
172,18,1624049045
104,5,7625700861
0,0,6303400510
0,0,4055700722
103,6,4232900510
93,6,6837700195
27,3,5248800610
52,2,8910500236
90,3,7518503740
39,0,2922701505
185,8,0476000296
32,1,9551203315
46,3,2349300230
76,3,1819800170
109,9,6379500555
21,0,6844700585
96,8,0272000345
53,0,7321900005
16,1,3348401096
35,3,0208500120
182,17,7133300080
8,0,9840300056
0,0,7700100065
39,0,1337801290
57,5,9294300590
208,18,7452500405
129,7,5464300161
118,2,1962200305
125,7,6170900090
3,1,3438503045
16,0,0148000245
51,1,5100402484
1,0,7640400260
29,1,0293000135
161,9,9521100875
118,1,1529300190
92,4,3362401560
111,17,3300700575
197,26,8730000130
30,1,2771602859
222,32,1604601760
10,0,2493200395
92,13,7883608547
30,0,1176000380
8,0,2391600890
65,1,9184700390
8,0,2426039160
62,10,3438503143
111,4,6646900005
265,16,2920700080
49,1,0269001126
162,10,9521100877
19,0,6381500355
91,3,6145602340
10,0,5249804340
36,0,4322500170
102,7,3278602590
1,0,3616600090
179,10,5694500824
139,8,5693500506
36,1,1338600060
29,4,1773100531
88,4,1705400155
80,4,3723800425
66,12,3333000815
30,0,6380500100
38,3,5680000266
340,22,1336300207
166,9,4358700110
6,0,0399200220
0,0,6699100010
29,5,1773100045
82,4,2652501470
35,1,2771603275
15,3,0603000815
82,11,7133300033
20,2,8820903530
89,5,8911000440
108,9,1568100271
36,3,3290800252
37,2,2826049158
54,0,5350200795
54,0,5350200795
43,2,3488300015
0,0,0623049094
166,8,3797000960
38,3,3679400680
0,0,7694210470
29,0,9547203970
